Object_class;Object_names;Parameter_name;Alternative;Paramter_value
unit;Solar|PVInvest0|AFG;candidate_units;Base;1397.9183847622123
unit;Solar|PVInvest1|AFG;candidate_units;Base;1407.1571366834673
unit;Solar|PVInvest2|AFG;candidate_units;Base;1436.4898166324263
unit;Solar|PVInvest3|AFG;candidate_units;Base;1456.0349685026354
unit;Solar|PVInvest4|AFG;candidate_units;Base;1467.014437023746
unit;Wind|WINDInvest0|AFG;candidate_units;Base;341.8559569717799
unit;Wind|WINDInvest1|AFG;candidate_units;Base;358.95217637349384
unit;Wind|WINDInvest2|AFG;candidate_units;Base;379.8902413994773
unit;Wind|WINDInvest3|AFG;candidate_units;Base;410.6727525104662
unit;Wind|WINDInvest4|AFG;candidate_units;Base;417.47625925119377
unit;Solar|PVInvest0|AGO;candidate_units;Base;3594.393997265825
unit;Solar|PVInvest1|AGO;candidate_units;Base;3623.0774701676382
unit;Solar|PVInvest2|AGO;candidate_units;Base;3635.8896648349078
unit;Solar|PVInvest3|AGO;candidate_units;Base;3647.2127670342056
unit;Solar|PVInvest4|AGO;candidate_units;Base;3656.3732491071464
unit;Wind|WINDInvest0|AGO;candidate_units;Base;901.5445727594345
unit;Wind|WINDInvest1|AGO;candidate_units;Base;901.544572752742
unit;Wind|WINDInvest2|AGO;candidate_units;Base;901.5445727453009
unit;Wind|WINDInvest3|AGO;candidate_units;Base;1125.609937864395
unit;Wind|WINDInvest4|AGO;candidate_units;Base;1153.9694272116478
unit;Wind|WIND_OFFSHOREInvest0|AGO;candidate_units;Base;15.66606634185279
unit;Wind|WIND_OFFSHOREInvest1|AGO;candidate_units;Base;15.666066341889612
unit;Wind|WIND_OFFSHOREInvest2|AGO;candidate_units;Base;15.666066341871195
unit;Wind|WIND_OFFSHOREInvest3|AGO;candidate_units;Base;15.666066341871199
unit;Wind|WIND_OFFSHOREInvest4|AGO;candidate_units;Base;15.666066341871195
unit;Solar|PVInvest0|ALB;candidate_units;Base;32.765050343409875
unit;Solar|PVInvest1|ALB;candidate_units;Base;32.813166242194505
unit;Solar|PVInvest2|ALB;candidate_units;Base;32.92104797204187
unit;Solar|PVInvest3|ALB;candidate_units;Base;32.921047971844196
unit;Solar|PVInvest4|ALB;candidate_units;Base;32.92104797204187
unit;Wind|WINDInvest0|ALB;candidate_units;Base;19.027743533959843
