Regions;Year;Technology;Electricity Installed Capacity (MW);log_expol;area_potential;tech_potential
ALG;2014;Onshore wind energy;10.2;;2301677.8450427647;2198102.34201584
ALG;2014;Solar photovoltaic;3.3000000000000003;;2197760.9679960962;2098861.724436272
ALG;2015;Onshore wind energy;10.2;;2301677.8450427647;2209610.731241054
ALG;2015;Solar photovoltaic;36.099999999999994;;2197760.9679960962;2109850.5292762523
ALG;2016;Onshore wind energy;10.2;;2301677.8450427647;2221119.1204662677
ALG;2016;Solar photovoltaic;236.1;;2197760.9679960962;2120839.334116233
ALG;2017;Onshore wind energy;10.2;;2301677.8450427647;2232627.509691482
ALG;2017;Solar photovoltaic;329.09999999999997;;2197760.9679960962;2131828.1389562134
ALG;2018;Onshore wind energy;100.0;;2301677.8450427647;2244135.8989166957
ALG;2018;Solar photovoltaic;341.09999999999997;;2197760.9679960962;2142816.9437961937
ALG;2019;Onshore wind energy;110.0;;2301677.8450427647;2255644.2881419095
ALG;2019;Solar photovoltaic;341.09999999999997;;2197760.9679960962;2153805.7486361745
ALG;2020;Onshore wind energy;130.0;;2301677.8450427647;2267152.6773671233
ALG;2020;Solar photovoltaic;341.09999999999997;;2197760.9679960962;2164794.553476155
ALG;2021;Onshore wind energy;160.0;;2301677.8450427647;2278661.066592337
ALG;2021;Solar photovoltaic;341.09999999999997;;2197760.9679960962;2175783.358316135
ALG;2022;Onshore wind energy;200.0;;2301677.8450427647;2290169.455817551
ALG;2022;Solar photovoltaic;425.8;;2197760.9679960962;2186772.163156116
ALG;2023;Onshore wind energy;250.0;262.5537999624055;2301677.8450427647;2301677.8450427647
ALG;2023;Solar photovoltaic;425.8;477.14385340427407;2197760.9679960962;2197760.9679960962
ALG;2024;Onshore wind energy;;348.0383540953162;2301677.8450427647;2313186.2342679785
ALG;2024;Solar photovoltaic;;544.7389797223193;2197760.9679960962;2208749.7728360766
ALG;2025;Onshore wind energy;;461.3510981964692;2301677.8450427647;2324694.6234931923
ALG;2025;Solar photovoltaic;;621.9078041345178;2197760.9679960962;2219738.5776760573
ALG;2026;Onshore wind energy;;611.5475793297485;2301677.8450427647;2336203.012718406
ALG;2026;Solar photovoltaic;;710.0055976127437;2197760.9679960962;2230727.3825160377
ALG;2027;Onshore wind energy;;810.6274566553352;2301677.8450427647;2347711.40194362
ALG;2027;Solar photovoltaic;;810.579279510824;2197760.9679960962;2241716.187356018
ALG;2028;Onshore wind energy;;1074.4896797967026;2301677.8450427647;2359219.7911688336
ALG;2028;Solar photovoltaic;;925.3944558913071;2197760.9679960962;2252704.992195999
ALG;2029;Onshore wind energy;;1424.1960465642671;2301677.8450427647;2370728.1803940474
ALG;2029;Solar photovoltaic;;1056.466253503635;2197760.9679960962;2263693.797035979
ALG;2030;Onshore wind energy;;1887.6415524974454;2301677.8450427647;2382236.5696192617
ALG;2030;Solar photovoltaic;;1206.0944764786775;2197760.9679960962;2274682.6018759594
ALG;2031;Onshore wind energy;;2501.7604797317376;2301677.8450427647;2393744.9588444754
ALG;2031;Solar photovoltaic;;1376.903684234079;2197760.9679960962;2285671.40671594
ALG;2032;Onshore wind energy;;3315.4365164033275;2301677.8450427647;2405253.3480696892
ALG;2032;Solar photovoltaic;;1571.8888696569163;2197760.9679960962;2296660.2115559205
ALG;2033;Onshore wind energy;;4393.335372336155;2301677.8450427647;2416761.737294903
ALG;2033;Solar photovoltaic;;1794.4675073417459;2197760.9679960962;2307649.016395901
ALG;2034;Onshore wind energy;;5820.941419028757;2301677.8450427647;2428270.126520117
ALG;2034;Solar photovoltaic;;2048.5388435720884;2197760.9679960962;2318637.8212358817
ALG;2035;Onshore wind energy;;7711.157484907763;2301677.8450427647;2439778.5157453306
ALG;2035;Solar photovoltaic;;2338.551413928084;2197760.9679960962;2329626.626075862
ALG;2036;Onshore wind energy;;10212.919436339602;2301677.8450427647;2451286.9049705444
ALG;2036;Solar photovoltaic;;2669.579901985502;2197760.9679960962;2340615.4309158423
ALG;2037;Onshore wind energy;;13522.381935749456;2301677.8450427647;2462795.294195758
ALG;2037;Solar photovoltaic;;3047.4125945990227;2197760.9679960962;2351604.235755823
ALG;2038;Onshore wind energy;;17897.34010704059;2301677.8450427647;2474303.683420972
ALG;2038;Solar photovoltaic;;3478.650846707706;2197760.9679960962;2362593.0405958034
ALG;2039;Onshore wind energy;;23675.64373567978;2301677.8450427647;2485812.0726461858
ALG;2039;Solar photovoltaic;;3970.8221422544325;2197760.9679960962;2373581.8454357837
ALG;2040;Onshore wind energy;;31298.395968799465;2301677.8450427647;2497320.4618713995
ALG;2040;Solar photovoltaic;;4532.508528160315;2197760.9679960962;2384570.6502757645
ALG;2041;Onshore wind energy;;41338.6332636815;2301677.8450427647;2508828.8510966133
